bordcode;opinion
A11;0
A13;0
A15;0
A17;0
A19;0
A1a;0
A1b;0
A1c;0
A1d;0
A23;0
A27;0
A29;0
A31;0
A35;0
A37;0
A41;0
A43;0
A45;0
A47;0
A49;0
A51;0
B11;0
B9;0
C13;0
C48;0
E1;0
E11;0
E3;0
E5;0
E7;0
E9a;0
E9b;0
E9c;0
E9d;0
E9e;0
E9f;0
E9g;0
E9h;0
E9i;0
F17;0
F18;0
F21;0
F43;0
F47;0
F51a;0
F59;0
F60;0
M11;0
A14;1
A21;1
A25;1
A3;1
A33;1
A39;1
A5;1
A7a;1
A7b;1
A7c;1
A9;1
B1;1
B3;1
B5;1
B7;1
C1;1
C11;1
C11-C9;1
C15;1
C19;1
C21;1
C23;1
C24a;1
C24b;1
C25;1
C27;1
C29;1
C3;1
C33;1
C35;1
C37;1
C39;1
C41;1
C43;1
C45;1
C46;1
C5;1
C5-C7;1
C5-C7-C9;1
C6;1
C7;1
C9;1
D10;1
D11;1
D13;1
F1;1
F101c;1
F103;1
F11;1
F19;1
F3;1
F45;1
F45b;1
F49;1
F4a;1
F4b;1
F5;1
F50;1
F50bis;1
F7;1
F8;1
F87;1
F9;1
F99c;1
M1;1
M4;1
M5;1
M6;1
M7;1
M8;1
F111;2
F113;2
F12a;2
F12b;2
